Argentina Copa Argentina,AGC
Argentina Primera División,APL
Argentina Supercopa Argentina,AUC
Asia AFC Champions League,ACL
Australia A-League,AD1
Australia FFA Cup,AFA
Belgium Belgian Cup,BFC
Belgium Belgian Super Cup,BSC
Belgium Pro League,BFL
Brazil Copa do Brasil,BDC
Brazil Paulista A1,BPC
Brazil Serie A,BD1
Chile Copa Chile,CHC
Chile Primera División,CD1
Chile Super Cup,CSC
England Championship,ED1
England Community Shield,ESH
England EFL League One,ED2
England EFL League Two,ED3
England EFL Trophy,ELT
England FA Cup,EFA
England League Cup,ELC
England Premier League,EPL
Europe UEFA Champions League,UCL
Europe UEFA Europa Conference League,UEF
Europe UEFA Europa League,UEC
Europe UEFA Super Cup,USC
Finland Veikkausliiga,FVL
France Coupe de France,FFA
France Ligue 1,FFL
France Ligue 2,FF2
France Trophee des Champions - Super Cup,FCT
Germany 2. Bundesliga,GD2
Germany Bundesliga,GSL
Germany DFB Pokal,GSC
Germany DFL Super Cup,GCC
International AFC Asian Cup,ASC
International Africa Cup of Nations,ANC
International Copa America,COA
International CONCACAF Champions League,CNC
International FIFA Club World Cup,CWP
International International Friendlies,INT
International WC Qualification Asia,WCQ
International UEFA Euro Championship,EUC
International UEFA Euro Qualifiers,EUQ
International UEFA Nations League,ENL
Italy Coppa Italia,IFC
Italy Serie A,ISA
Italy Supercoppa Italiana,ISC
Japan Emperor Cup,JEC
Japan J1 League,JD1
Japan J2 League,JD2
Japan J-League Cup,JLC
Japan Super Cup,JSC
Mexico Liga MX,MXL
Mexico Supercopa MX,MSC
Netherlands Eerste Divisie,DF2
Netherlands Eredivisie,DFL
Netherlands KNVB Cup,DAC
Norway Eliteserien,NTL
Norway Norwegian Football Cup,NWC
Portugal Liga NOS,PFL
Portugal Portuguese League Cup,PLC
Portugal Portuguese Super Cup,PSC
Portugal Taça de Portugal,PFC
Russia Russian Premier League,RPL
Russia Russian Cup,RFC
Scotland Premiership,SPL
Scotland Scottish Cup,SFA
Scotland Scottish League Cup,SLC
South America Copa Libertadores,LBC
South America Copa Sudamericana,SAC
South Korea K League 1,KD1
South Korea Korean FA Cup,KFA
Spain Copa del Rey,SFC
Spain La Liga,SFL
Spain Segunda División,SF2
Spain Supercopa de Espana,SSC
Sweden Allsvenskan,SAL
Sweden Svenska Cupen,SWC
USA MLS,MLS
USA US Open Cup,MLC
