Argentina Copa Argentina,,AGC,arca,false,
Argentina Primera División,,APL,ar1n,false,
Argentina Supercopa Argentina,,AUC,scin,false,
Asia AFC Champions League,,ACL,acle,true,
Asia AFC Cup,,AC2,acl2,false,
Australia A-League,,AD1,aus1,false,
Australia FFA Cup,,AFA,ffac,false,
Belgium Belgian Cup,,BFC,ccb,false,
Belgium Belgian Super Cup,,BSC,besc,false,
Belgium Pro League,,BFL,be1,false,
Brazil Copa do Brasil,,BDC,brc,false,
Brazil Paulista A1,,BPC,bcp1,false,
Brazil Serie A,,BD1,bra1,false,
Chile Copa Chile,,CHC,ch1c,false,
Chile Primera División,,CD1,clpd,false,
Chile Super Cup,,CSC,csuc,false,
China China League One,中國甲級聯賽,,clo,true,17
China Chinese FA Cup,中國足協盃,,chfa,false,29
China Chinese Super League,中國超級聯賽,,csl,true,16
China Super Cup,中國超級盃,,chsc,false,16
England Championship,,ED1,gb2,false,
England Community Shield,,ESH,gbcs,false,
England EFL League One,,ED2,gb3,false,
England EFL League Two,,ED3,gb4,false,
England EFL Trophy,,ELT,gbfl,false,
England FA Cup,,EFA,fac,false,
England League Cup,,ELC,cgb,false,
England Premier League,,EPL,gb1,true,
Europe UEFA Champions League,,UCL,cl,true,
Europe UEFA Europa Conference League,,UEF,ucol,false,
Europe UEFA Europa League,,UEC,el,false,
Europe UEFA Super Cup,,USC,usc,false,
Finland Finnish Cup,,,fil,false,
Finland Veikkausliiga,,FVL,fi1,false,
France Coupe de France,,FFA,frc,false,
France Ligue 1,,FFL,fr1,true,
France Ligue 2,,FF2,fr2,false,
France Trophee des Champions - Super Cup,,FCT,frch,false,
Germany 2. Bundesliga,,GD2,l2,false,
Germany Bundesliga,,GSL,l1,true,
Germany DFB Pokal,,GSC,dfb,false,
Germany DFL Super Cup,,GCC,dfl,false,
Germany Germany Play offs 1 2,,,l1po,false,
Hong Kong Hong Kong FA Cup,香港足總盃,,hkfa,false,02
Hong Kong Hong Kong Premier League,香港超級聯賽,,hgkg,true,01
Hong Kong Senior Shield,香港高級組銀牌,,hksc,false,03
Hong Kong Sapling Cup,香港菁英盃,,hkp2,false,04
International AFC Asian Cup,,ASC,am23,false,
International AFF Championship,,SEC,af24,false,
International Africa Cup of Nations,,ANC,afcn,false,
International Africa Cup of Nations Qualification,,ANQ,afcq,false,
International Asian Cup Qualification,,ASQ,acqu,true,
International CONCACAF Champions League,,CNC,ccl,false,
International CONCACAF Gold Cup,,CGC,gocu,false,
International Copa America,,COA,cam4,false,
International FIFA Club World Cup,,CWP,klub,true,
International International Friendlies,,INT,,false,
International UEFA Euro Championship,,EUC,em24,false,
International UEFA Euro Qualifiers,,EUQ,emq,false,
International UEFA Nations League,,ENL,unla,false,
International WC Qualification Asia,,WCQ,powm,true,
Italy Coppa Italia,,IFC,cit,false,
Italy Serie A,,ISA,it1,true,
Italy Supercoppa Italiana,,ISC,sci,false,
Japan Emperor Cup,,JEC,jemp,false,
Japan J-League Cup,,JLC,japc,false,
Japan J1 League,,JD1,jap1,true,
Japan J2 League,,JD2,jap2,false,
Japan Super Cup,,JSC,jasp,false,
Mexico Ascenso MX,,MD1,mex2,false,
Mexico Liga MX,,MXL,mex1,false,
Mexico Supercopa MX,,MSC,sc14,false,
Netherlands Dutch Super Cup,,DSC,nlsc,false,
Netherlands Eerste Divisie,,DF2,nl2,false,
Netherlands Eredivisie,,DFL,nl1,false,
Netherlands KNVB Cup,,DAC,nlp,false,
Norway Eliteserien,,NTL,no1,false,
Norway Norwegian Football Cup,,NWC,nopo,false,
Portugal Liga NOS,,PFL,po1,false,
Portugal Portuguese League Cup,,PLC,pocp,false,
Portugal Portuguese Super Cup,,PSC,posu,false,
Portugal Taça de Portugal,,PFC,popo,false,
Qatar Amir Cup,,QAC,qec1,false,
Qatar Qatar Stars Cup,,QSC,qscp,false,
Qatar Stars League,,QSL,qsl,false,
Russia Russian Cup,,RFC,rup,false,
Russia Russian Premier League,,RPL,ru1,false,
Russia Russian Super Cup,,RSC,russ,false,
Saudi Arabia Kings Cup,,SKC,sakc,false,
Saudi Arabia Professional League,,SDL,sa1,false,
Scotland Premiership,,SPL,sc1,false,
Scotland Scottish Cup,,SFA,sfa,false,
Scotland Scottish League Cup,,SLC,scp,false,
South America CONMEBOL Recopa Sudamericana,,SAS,reco,false,
South America Copa Libertadores,,LBC,cli,false,
South America Copa Sudamericana,,SAC,cs,false,
South Korea K League 1,,KD1,rsk1,false,
South Korea Korean FA Cup,,KFA,rkpo,false,
Spain Copa del Rey,,SFC,cdr,false,
Spain La Liga,,SFL,es1,true,
Spain Segunda División,,SF2,es2,false,
Spain Supercopa de Espana,,SSC,suc,false,
Sweden Allsvenskan,,SAL,se1,false,
Sweden Svenska Cupen,,SWC,sec,false,
USA MLS,,MLS,mls1,false,
USA US Open Cup,,MLC,mlsp,false,
