China China League One,中國甲級聯賽
China Chinese FA Cup,中國足協盃
China Chinese Super League,中國超級聯賽
Hong Kong Hong Kong FA Cup,香港足總盃
Hong Kong Hong Kong Premier League,香港超級聯賽
Hong Kong Sapling Cup,香港菁英盃
Hong Kong Senior Shield,香港高級組銀牌
International CONCACAF Nations League,中北美洲國家聯賽
International Leagues Cup,北美聯賽盃
International WC Qualification Africa,世盃非洲區外圍賽
International WC Qualification Asia,世盃亞洲區外圍賽
International WC Qualification CONCACAF,世盃中北美洲外圍賽
International WC Qualification Europe,世盃歐洲區外圍賽
International WC Qualification Oceania,世盃大洋洲區外圍賽
International WC Qualification South America,世盃南美洲區外圍賽
Thailand Thai League T1,泰國T1聯賽
