Argentina,Copa Argentina,arca
Argentina,Primera División,ar1n
Asia,AFC Champions League,afcl
Australia,A-League,aus1
Australia,FFA Cup,ffac
Belgium,Belgian Super Cup,besc
Belgium,Pro League,be1
Brazil,Copa do Brasil,brc
Brazil,Serie A,bra1
Chile,Copa Chile,ch1c
Chile,Primera División,clpd
China,China League One,clo
China,Chinese FA Cup,chfa
China,Chinese Super League,csl
England,Championship,gb2
England,Community Shield,gbcs
England,EFL League One,gb3
England,EFL League Two,gb4
England,EFL Trophy,gbfl
England,League Cup,cgb
England,Premier League,gb1
Europe,UEFA Champions League,cl
Europe,UEFA Europa Conference League,ucol
Europe,UEFA Europa League,el
Europe,UEFA Super Cup,usc
Finland,Finnish Cup,fil
Finland,Veikkausliiga,fi1
France,Ligue 1,fr1
France,Ligue 2,fr2
Germany,2. Bundesliga,l2
Germany,Bundesliga,l1
Germany,DFB Pokal,dfb
Germany,DFL Super Cup,dfl
Hong Kong,Hong Kong Premier League,hgkg
Hong Kong,Sapling Cup,hkp2
Hong Kong,Senior Shield,hksc
International,Leagues Cup,usmx
Italy,Coppa Italia,cit
Italy,Serie A,it1
Japan,Emperor Cup,jemp
Japan,J1 League,jap1
Japan,J2 League,jap2
Mexico,Liga MX,mex1
Netherlands,Eerste Divisie,nl2
Netherlands,Eredivisie,nl1
Norway,Eliteserien,no1
Norway,Norwegian Football Cup,nopo
Portugal,Liga NOS,po1
Portugal,Portuguese League Cup,pocp
Portugal,Portuguese Super Cup,posu
Russia,Russian Cup,rup
Russia,Russian Premier League,ru1
Scotland,Premiership,sc1
Scotland,Scottish League Cup,scp
South America,Copa Libertadores,cli
South America,Copa Sudamericana,cs
South Korea,K League 1,rsk1
South Korea,Korean FA Cup,rkpo
Spain,La Liga,es1
Spain,Segunda División,es2
Sweden,Allsvenskan,se1
Sweden,Svenska Cupen,sec
USA,MLS,mls1
